"","dt_Primary","total","female_percentage","male_percentage","DrugName","female_popularity","male_popularity"
"1","Psychedelic",17.969959853509,0.0203,0.04035,"Salvia divinorum",0.31728045325779,1
"2","Psychedelic",17.5631695818937,0.03716,0.03092,"Mushrooms",0.580736543909348,0.766320474777448
"3","Psychedelic",17.4448295944932,0.0339,0.02973,"LSD",0.529745042492918,0.736646884272997
"4","Entactogen",17.6531478075802,0.06398,0.02787,"MDMA",1,0.690652818991098
"5","Depressant",16.7213448750406,0.01849,0.02329,"Alcohol - Beer/Wine",0.288951841359773,0.577151335311573
"6","Psychedelic",15.6110125851671,0.0145,0.0144,"DMT",0.226628895184136,0.356824925816024
"7","Stimulant",15.6110125851671,0.01504,0.01431,"Tobacco - Cigarettes",0.235127478753541,0.35459940652819
"8","Psychedelic",15.3271094704513,0.00924,0.01344,"2C-I",0.144475920679887,0.333086053412463
"9","Depressant",15.2519878215705,0.01323,0.01233,"Alcohol",0.206798866855524,0.305637982195846
"10","Depressant",15.2823116068017,0.0145,0.0123,"Alcohol - Hard",0.226628895184136,0.304896142433234
"11","Depressant",15.2315628314391,0.01305,0.01224,"Kratom",0.203966005665722,0.303412462908012
"12","Stimulant",15.3662579664349,0.01867,0.01212,"Amphetamines",0.291784702549575,0.300445103857567
"13","Psychedelic",14.8556496539628,0.00562,0.01144,"Mushrooms - P. cubensis",0.0878186968838527,0.283382789317507
"14","Stimulant",15.3369550063302,0.02664,0.01063,"Cocaine",0.41643059490085,0.263353115727003
"15","Psychedelic",14.5169187526734,0.00653,0.0097,"2C-E",0.101983002832861,0.240356083086053
"16","Psychedelic",14.4333072383957,0.00634,0.00937,"Morning Glory",0.0991501416430595,0.232195845697329
"17","Deliriant",14.4333072383957,0.01088,0.00862,"Diphenhydramine",0.169971671388102,0.213649851632047
"18","Psychedelic",14.1560711326313,0.00453,0.00856,"5-MeO-DMT",0.0708215297450425,0.212166172106825
"19","Stimulant",14.2417964704473,0.00689,0.0085,"Caffeine",0.107648725212465,0.210682492581602
"20","Depressant",14.2873295199516,0.01106,0.00799,"Pharms - Alprazolam",0.172804532577904,0.198071216617211
"21","Psychedelic",13.8526620055509,0.00508,0.00739,"H.B. Woodrose",0.0793201133144476,0.183234421364985
"22","Stimulant",13.647017654726,0.00453,0.00683,"Tobacco",0.0708215297450425,0.169139465875371
"23","Psychedelic",13.7705962785143,0.00707,0.0068,"2C-B",0.110481586402266,0.16839762611276
"24","Depressant",13.6175981790998,0.00816,0.00614,"Pharms - Zolpidem",0.127478753541076,0.152077151335312
"25","Psychedelic",13.5677721720932,0.00743,0.00611,"AMT",0.11614730878187,0.1513353115727
"26","Stimulant",14.1481281194457,0.01958,0.00605,"Methamphetamine",0.305949008498584,0.149851632047478
"27","Depressant",13.5271736674996,0.00743,0.00599,"Pharms - Clonazepam",0.11614730878187,0.148367952522255
"28","Deliriant",13.2684594702666,0.00417,0.00581,"Datura",0.0651558073654391,0.143916913946588
"29","Psychedelic",13.1281579418134,0.00526,0.00527,"5-MeO-DiPT",0.0821529745042493,0.130563798219585
"30","Psychedelic",13.0299836486266,0.00399,0.00524,"25I-NBOMe",0.0623229461756374,0.129821958456973
"31","Deliriant",12.8346597105676,0.00417,0.00476,"Nutmeg",0.0651558073654391,0.117952522255193
"32","Psychedelic",12.7936675736274,0.00399,0.0047,"4-AcO-DMT",0.0623229461756374,0.11646884272997
"33","Psychedelic",12.6664374673645,0.00236,0.0047,"DPT",0.0368271954674221,0.11646884272997
"34","Deliriant",12.8074074613219,0.00453,0.00464,"Dimenhydrinate",0.0708215297450425,0.114985163204748
"35","Depressant",12.8616141150617,0.00562,0.00458,"Pharms - Diazepam",0.0878186968838527,0.113501483679525
"36","Stimulant",12.5928110009863,0.00308,0.00443,"Methylone",0.0481586402266289,0.109792284866469
"37","Depressant",12.341250099899,0.00181,0.00416,"Kava",0.028328611898017,0.103115727002967
"38","Anti-Depressant",12.9793910343106,0.00979,0.00416,"Pharms - Bupropion",0.152974504249292,0.103115727002967
"39","Psychedelic",12.3079211675286,0.00181,0.0041,"Cacti - T. pachanoi",0.028328611898017,0.101632047477745
"40","Stimulant",12.6809026317772,0.00616,0.0041,"Pharms - Methylphenidate",0.0963172804532578,0.101632047477745
"41","Psychedelic",12.2570677481087,0.00199,0.00398,"Mimosa tenuiflora",0.0311614730878187,0.0986646884272997
"42","Psychedelic",12.1341659921959,0.00145,0.00386,"2C-T-2",0.0226628895184136,0.0956973293768546
"43","Deliriant",12.1341659921959,0.00145,0.00386,"Amanitas - A. muscaria",0.0226628895184136,0.0956973293768546
"44","Depressant",12.4065864627999,0.00544,0.00368,"Pharms - Gabapentin",0.084985835694051,0.0912462908011869
"45","Stimulant",12.3741346332481,0.00562,0.00359,"Modafinil",0.0878186968838527,0.0890207715133531
